,time,cc_num,amount,merchant,category,gender,first,last,age,city_pop,state
0,2019-01-01 00:00:18,1,20,3,entertainment,M,Jeff,Melone,25,3945,NC
1,2019-01-01 00:00:28,1,10,3,entertainment,F,Brian,Williams,28,3278,WA
2,2019-04-02 02:00:30,1,5.5,3,travel,F,Daina,Evans,37,4378,ID
3,2019-04-03 01:00:30,1,50,2,home,M,Melisa,Meza,25,159,RS
4,2019-05-02 02:01:28,1,80.5,3,travel,F,Jessica,Williams,37,4378,ID
5,2019-05-02 02:01:55,1,45,3,travel,F,Scarlet,Williams,37,2301,US
6,2019-06-02 02:00:30,1,50,2,entertainment,F,Ashley,Cyrus,49,5203,WA
7,2019-06-03 01:00:00,1,500,5,travel,F,Rebecca,Johnson,25,2301,US
8,2019-08-05 04:00:30,1,200,5,home,M,Zac,Thompson,20,239,ID
9,2019-08-06 01:00:30,1,100,5,entertainment,M,Cody,Hooper,55,1456,CG
10,2019-08-06 05:00:00,1,30,6,entertainment,M,Leonard,Mendes,25,378,AD
11,2019-11-16 03:00:30,1,80,6,home,F,Samuel,Jenkins,68,849,PK
12,2019-11-17 01:00:30,1,40,6,travel,M,Steve,Pearson,25,3701,NY
13,2020-01-01 02:00:00,2,10,6,home,M,Steve,Pearson,25,3701,NY
14,2020-01-02 01:59:59,2,30,6,home,M,Nick,Hageman,45,3701,NY
15,2020-01-03 01:59:59,2,55,4,entertainment,F,Celine,White,25,3701,NY
16,2020-02-03 02:00:00,2,100,1,travel,M,Carl,Black,78,3701,NY
17,2020-03-03 01:59:59,2,10,3,travel,M,Broody,Button,25,3701,NY
18,2020-05-02 01:59:58,2,100,3,gas_transport,F,Kimberly,Coach,58,378,AD
19,2020-05-02 01:59:58,2,50,5,travel,M,Broody,Button,25,3701,NY
20,2020-06-01 08:00:00,3,10,1,home,F,Michelle,OBrien,25,3701,NY
21,2020-06-01 08:00:59,3,50,2,travel,M,Broody,Button,25,3701,NY
22,2020-06-02 09:00:00,3,100.5,3,travel,M,Brian,Walker,25,3701,NY
23,2020-06-03 02:00:00,3,40,4,entertainment,M,Broody,Button,25,3701,NY
24,2020-06-03 02:00:01,3,10,4,travel,M,Broody,Button,25,3701,NY
25,2020-09-03 01:59:58,3,100,3,travel,M,Broody,Button,25,3701,NY
26,2020-09-03 02:00:00,4,10,6,food_dining,F,Herlin,White,40,378,AD
27,2020-09-03 02:00:10,4,50,5,travel,M,Johny,Stones,55,3701,NY
28,2020-09-04 02:00:00,4,5,3,travel,M,Broody,Button,25,3701,NY
29,2020-12-03 01:59:59,4,10,2,travel,M,Broody,Button,25,3701,NY
30,2020-12-03 02:00:00,4,100,3,travel,M,Broody,Button,25,3701,NY
31,2020-12-04 07:00:00,5,10,7,food_dining,F,Benjamin,White,63,1456,CG
32,2020-12-13 00:00:00,5,50,7,gas_transport,F,Celine,Strove,25,3701,NY
33,2020-12-20 06:01:33,5,100,8,food_dining,M,Steve,Green,48,1456,CG
34,2020-12-20 12:00:00,5,110,8,food_dining,F,Kelly,Luther,22,239,ID
35,2020-12-21 02:00:00,5,40,8,gas_transport,M,Martin,Stones,30,849,PK
36,2020-12-25 00:00:00,6,1000,9,grocery_net,F,Celine,White,25,3701,NY
